GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
,
HC01_EST_VC01,Total; Estimate; Population for whom poverty status is determined
HC03_EST_VC01,Percent below poverty level; Estimate; Population for whom poverty status is determined
HC03_MOE_VC01,Percent below poverty level; Margin of Error; Population for whom poverty status is determined
,
HC01_EST_VC09,Total; Estimate; SEX - Male
HC03_EST_VC09,Percent below poverty level; Estimate; SEX - Male
HC03_MOE_VC09,Percent below poverty level; Margin of Error; SEX - Male
,
HC01_EST_VC10,Total; Estimate; SEX - Female
HC03_EST_VC10,Percent below poverty level; Estimate; SEX - Female
HC03_MOE_VC10,Percent below poverty level; Margin of Error; SEX - Female
