GeoID,GeoIDTwo,GeoDisplay,Total,PercentBelow,PercentBelowError,TotalMale,PercentBelowMale,PercentBelowMaleError,TotalFemale,PercentBelowFemale,PercentBelowFemaleError
0500000US19001,19001,"Adair County, Iowa",7452,9.9,2,3692,8.7,2.6,3760,11.1,2.2
0500000US19003,19003,"Adams County, Iowa",3957,11.2,2.8,1972,10.7,2.9,1985,11.8,3.2
0500000US19005,19005,"Allamakee County, Iowa",13893,11,2.2,7040,10.1,2.5,6853,12,2.5
0500000US19007,19007,"Appanoose County, Iowa",12669,14.2,2.3,6197,14.7,3.2,6472,13.8,2.4
0500000US19009,19009,"Audubon County, Iowa",5874,10.7,2.5,2879,8,2.5,2995,13.4,3.1
0500000US19011,19011,"Benton County, Iowa",25786,7.8,1.6,12877,7.7,1.9,12909,7.9,1.8
0500000US19013,19013,"Black Hawk County, Iowa",124514,16.5,0.9,61125,14.6,1,63389,18.3,1.3
0500000US19015,19015,"Boone County, Iowa",25606,9,1.6,12794,7.8,2,12812,10.2,2
0500000US19017,19017,"Bremer County, Iowa",22733,7.5,1.4,11349,4.9,1.3,11384,10,2.2
0500000US19019,19019,"Buchanan County, Iowa",20701,10.7,2.3,10286,9.5,2.7,10415,11.9,2.3
0500000US19021,19021,"Buena Vista County, Iowa",18953,12.7,2.4,9614,10,2.3,9339,15.5,3.1
0500000US19023,19023,"Butler County, Iowa",14636,10.2,1.6,7181,8.1,1.5,7455,12.2,2
0500000US19025,19025,"Calhoun County, Iowa",9348,13.8,2.8,4537,12.1,3,4811,15.4,3.2
0500000US19027,19027,"Carroll County, Iowa",20301,9.6,1.6,9865,7.9,1.7,10436,11.3,2
0500000US19029,19029,"Cass County, Iowa",13621,12.7,2.3,6740,10.8,2.5,6881,14.7,2.8
0500000US19031,19031,"Cedar County, Iowa",18199,8.3,2.1,8883,8,1.9,9316,8.5,2.6
0500000US19033,19033,"Cerro Gordo County, Iowa",43012,14.4,1.8,20844,12.6,2,22168,16.2,2.3
