GeoID,GeoIDTwo,GeoDisplay,Total,PercentBelow,PercentBelowError,TotalMale,PercentBelowMale,PercentBelowMaleError,TotalFemale,PercentBelowFemale,PercentBelowFemaleError
1400000US19001960100,19001960100,"Census Tract 9601, Adair County, Iowa",2814,12.5,4.7,1401,13.5,6.1,1413,11.5,4.3
1400000US19001960200,19001960200,"Census Tract 9602, Adair County, Iowa",1657,6.2,2.5,882,2.7,1.7,775,10.1,4
1400000US19001960300,19001960300,"Census Tract 9603, Adair County, Iowa",2981,9.6,3.1,1409,7.8,3,1572,11.2,3.7
1400000US19003950100,19003950100,"Census Tract 9501, Adams County, Iowa",1778,4.5,2.2,919,5.3,2.8,859,3.6,2.1
1400000US19003950200,19003950200,"Census Tract 9502, Adams County, Iowa",2179,16.8,4.6,1053,15.4,4.8,1126,18,5.3
1400000US19005960100,19005960100,"Census Tract 9601, Allamakee County, Iowa",1933,6.5,3.6,1000,7.1,4.6,933,5.9,3.4
1400000US19005960200,19005960200,"Census Tract 9602, Allamakee County, Iowa",2409,6,3.5,1328,7,4.9,1081,4.8,3.6
1400000US19005960300,19005960300,"Census Tract 9603, Allamakee County, Iowa",4032,13.2,5,1908,11.9,6,2124,14.5,5.1
1400000US19005960400,19005960400,"Census Tract 9604, Allamakee County, Iowa",2246,7.5,3.2,1244,6.8,3.5,1002,8.3,4.2
1400000US19005960500,19005960500,"Census Tract 9605, Allamakee County, Iowa",3273,17.1,6.3,1560,15.3,6.7,1713,18.9,7.1
1400000US19007950100,19007950100,"Census Tract 9501, Appanoose County, Iowa",2823,14.3,3.9,1380,14.9,4.8,1443,13.9,4.2
1400000US19007950200,19007950200,"Census Tract 9502, Appanoose County, Iowa",1894,9.8,3.4,928,8.3,3.5,966,11.3,4.2
1400000US19007950300,19007950300,"Census Tract 9503, Appanoose County, Iowa",2810,19.2,6.8,1299,17.6,10,1511,20.5,6.6
1400000US19007950400,19007950400,"Census Tract 9504, Appanoose County, Iowa",2993,16.8,6.8,1472,20.9,9.2,1521,12.8,6.3
1400000US19007950500,19007950500,"Census Tract 9505, Appanoose County, Iowa",2149,8,2.9,1118,8.4,3.3,1031,7.5,3.3
1400000US19009070100,19009070100,"Census Tract 701, Audubon County, Iowa",1966,8.5,3.6,1036,5.4,2.8,930,11.9,5.2
1400000US19009070200,19009070200,"Census Tract 702, Audubon County, Iowa",2280,12.8,4.7,1046,9.5,5.3,1234,15.6,5.6
1400000US19009070300,19009070300,"Census Tract 703, Audubon County, Iowa",1628,10.6,3.3,797,9.3,4.1,831,11.8,4
